group	size	x	y	row_in_group	na_group
1	2.18460077041992	6.841	57.2364146341463	2	1
1	3.53015642496746	7.7	32.9898780487805	3	1
1	2.66975817146579	5.458	65.8294390243903	5	2
1	2.72651151674162	3.979	67.9847317073171	6	2
1	3.1412398953461	7.43	34.9891707317073	7	2
1	4.31230479810209	3.058	65.6258780487805	8	2
1	3.32026306244782	2.685	69.7221951219512	10	3
1	3.65248173744654	2.977	70.850243902439	11	3
1	2.11284026435673	3.842	67.369756097561	12	3
1	3.04764194358741	5.352	62.8618292682927	13	3
1	2.92170779223193	3.495	63.2692926829268	14	3
1	2.23540443295668	3.963	66.8380243902439	15	3
1	5.70405887121028	6.871	50.2293902439024	16	3
1	3.5063506065743	2.613	70.6253658536586	17	3
1	3.1136907124035	6.454	38.3574390243902	18	3
1	3.40248599665735	2.09	71.2939024390244	19	3
1	2.20955689338814	7.165	58.6348048780488	20	3
1	2.85881536375295	6.801	42.8061463414634	21	3
1	2.79398796605078	6.544	37.1129756097561	22	3
1	2.1535083814379	6.068	64.8935853658537	24	4
1	2.94803189370693	6.593	44.2182195121951	25	4
1	6.49885163928578	5.815	56.6708292682927	26	4
1	2.18046644194886	4.057	64.9793170731707	27	4
1	2.24411077613877	6.67	38.5209268292683	28	4
1	2.37671924380287	6.693	52.2675365853659	29	4
1	3.43677306566729	2.27	69.4581951219512	30	4
1	2.15629965042394	6.4	63.4774146341463	31	4
1	4.17239003033678	3.115	71.8721951219512	32	4
1	4.04098208879484	6.089	42.1804878048781	33	4
1	2.62808470836806	5.937	38.7263658536585	34	4
1	2.52605004811047	6.098	51.429512195122	35	4
1	3.18482406641699	2.568	72.2017073170732	36	4
1	3.00558094052938	7.701	41.3368292682927	37	4
1	3.4404473170869	5	59.3026829268293	38	4
1	3.19803160477459	6.001	43.7151707317073	39	4
1	15.0979234019968	5.872	51.2869268292683	40	4
1	4.10971855755807	6.559	59.0520487804878	41	4
1	2.61540067497809	6.631	64.3662195121951	42	4
1	3.38074525174807	4.617	66.8127317073171	43	4
1	2.23862536718917	6.993	49.8411463414634	44	4
1	2.37193453914512	3.133	71.1653414634146	46	5
1	3.53128026321879	2.165	70.1631707317073	47	5
1	6.26859897217104	2.5	70.4261463414634	48	5
1	2.16294347340679	7.731	40.9033658536585	49	5
1	3.06796646102562	2.61	72.3707317073171	50	5
1	2.96663122805635	7.054	55.2943414634146	52	6
1	3.74999037250519	7.388	49.8382926829268	53	6
1	3.11776392518892	6.639	55.8198292682927	54	6
1	2.55557817807968	1.93	69.5965121951219	55	6
1	4.77401965307159	6.406	48.0955609756098	56	6
1	2.61569840281498	6.759	41.1929024390244	57	6
1	4.76840781486997	2.937	70.8092682926829	58	6
1	4.44931742344656	6.886	41.2524390243902	59	6
1	3.04580549290495	2.398	68.9778048780488	60	6
1	2.33203733485338	5.475	58.0315365853659	61	6
1	2.10725797822844	6.894	59.5785853658537	62	6
1	5.46117851246757	2.84	70.8121951219512	64	7
1	2.35575908122035	4.363	42.335512195122	65	7
1	5.61051731994528	2.863	71.6243902439024	66	7
1	2.14717648350181	5.597	63.6144146341464	67	7
1	2.96936900051857	2.801	65.4297073170732	68	7
1	3.35963592467695	6.918	47.3360243902439	69	7
1	2.3084347032802	5.83	34.8688048780488	71	8
1	2.96361151576753	6.673	32.7882682926829	72	8
1	2.2521963081463	5.595	38.2311707317073	73	8
1	3.43178353296864	2.297	70.2825609756098	74	8
1	3.06537455900357	6.399	48.5534878048781	75	8
1	2.13008789912745	5.439	63.6574146341463	76	8
1	2.39641009016501	5.139	35.8594146341463	77	8
1	2.39067222867888	6.177	54.3697073170732	78	8
1	2.92845462330191	4.551	69.5553902439024	79	8
1	2.75054493617001	7.442	49.5231951219512	80	8
1	3.01357161211016	2.177	67.7277073170732	81	8
1	3.01216662120985	6.179	44.867756097561	82	8
1	3.55988220334515	1.82	69.0712195121951	83	8
1	6.9056920288574	5.612	48.6076585365854	84	8
1	2.83016409717918	4.031	70.5252926829268	85	8
1	12.9291545205962	5.781	45.7901707317073	88	10
1	3.41708695117042	7.044	53.8707804878049	89	10
1	4.44980847617098	6.849	48.2023414634146	90	10
1	2.21236432260535	3.713	73.8687804878049	91	10
1	5.53546909329826	2.665	70.1717073170732	92	10
1	2.16296481818675	2.526	71.1719268292683	93	10
1	2.64896652977167	5.815	66.5848292682927	94	10
1	2.51918698309854	8.057	57.3571707317073	95	10
1	6.87019069975203	2.139	70.2019512195122	96	10
1	3.50961435923785	8.119	49.428756097561	97	10
1	2.78501575703184	5.266	58.2973414634146	98	10
1	3.24490154735031	6.306	44.9758536585366	99	10
1	2.22110456143111	7.004	45.4262926829268	101	11
1	3.73460076720619	3.756	57.9020731707317	103	12
1	4.61585015239927	5.157	56.821756097561	104	12
1	2.33860546068827	7.407	64.4188780487805	106	13
1	3.68987342398003	4.059	60.3775609756098	108	14
1	2.7550007343612	5.973	45.0111463414634	109	14
1	2.70772998119085	5.553	63.1288048780488	110	14
1	2.14857478152737	6.688	60.616	111	14
1	3.63614283746052	4.959	59.8230975609756	113	15
1	2.54729526385694	6.524	39.4781951219512	114	15
1	2.47205854018629	5.802	48.1404878048781	115	15
1	2.84365684553786	2.23	71.3251219512195	116	15
1	2.28016580715022	2.42	69.4386341463415	117	15
1	2.73655687104818	1.74	70.7265853658537	118	15
1	2.63996591507202	7.338	49.1322682926829	119	15
1	3.83831133166241	7.136	49.0587317073171	120	15
1	2.82257330805923	2.891	63.6314390243903	122	16
1	2.34724502340687	2.49	65.2685609756098	123	16
1	3.1759583568734	7.301	41.8886585365854	125	17
1	2.61455268643334	3.571	63.7218292682927	127	18
1	3.13496803611589	6.816	31.7974146341463	128	18
1	4.40035386862113	6.125	46.1428292682927	129	18
1	2.51434059356314	7.593	52.8291463414634	130	18
1	2.22046897895655	3.594	67.4896585365854	131	18
1	2.48687320403023	6.799	44.0384390243902	133	19
1	2.27467515030151	2.52	69.0864634146342	134	19
1	2.42379375636907	5.51	62.3724634146342	135	19
1	2.15261901084911	7.201	40.462	136	19
1	2.9758259234701	7.097	38.8409024390244	137	19
1	5.29768517569904	6.769	59.4147317073171	138	19
1	3.5147762890836	5.77	61.8162926829268	139	19
1	3.42536200053308	6.602	37.1482195121951	140	19
1	2.40336399695817	6.236	49.8152682926829	141	19
1	2.14505955267377	5.6	60.7853658536585	142	19
1	2.95876599817198	7.221	38.0335853658537	143	19
1	5.47132027945079	6.335	40.3594390243902	144	19
1	2.70272616096084	7.01	50.2228536585366	145	19
1	3.71703240724161	3.039	73.5687804878049	146	19
1	2.9444982441129	2.932	73.7231707317073	147	19
1	3.58247762701232	6.094	40.3703902439024	148	19
1	2.79338954886762	3.54	71.2268292682927	149	19
1	2.38587373165399	7.271	45.8641707317073	150	19
1	2.56163537064941	5.823	63.1089512195122	151	19
1	3.65828115491702	6.75	50.141243902439	152	19
1	2.14624533184947	6.439	58.2984146341463	153	19
1	2.71928631899508	6.258	42.0371951219512	154	19
1	4.72292713318636	6.781	59.3278292682927	155	19
1	5.52304178095051	6.6	49.9961219512195	156	19
1	4.74625240318884	2.52	69.4292682926829	157	19
1	2.7881720613133	3.888	70.0392195121951	158	19
1	3.46885395773927	3.078	65.1288536585366	160	20
1	2.72209900595356	6.356	64.6032682926829	162	21
1	2.12890887377249	6.987	62.9949756097561	163	21
1	4.13640258866366	1.907	67.3455609756098	164	21
1	7.51382062562764	2.13	68.6180243902439	166	22
1	2.88004639661074	8.118	43.5580731707317	167	22
1	3.07507309966243	7.26	48.1773658536585	168	22
1	2.1783256842345	6.419	51.8817073170732	169	22
1	3.44747703478986	6.597	43.1844634146342	171	23
1	3.36167143376942	2.391	73.8617073170732	172	23
1	2.67202825074072	4.698	67.0858048780488	173	23
1	2.62814772178542	2.323	68.3658536585366	174	23
1	3.02346129651781	2.78	70.6113170731707	175	23
1	2.74544928835719	6.022	32.938	176	23
1	2.93509095811967	7.066	39.5534146341464	178	24
1	2.85749096323344	7.261	37.9908048780488	179	24
1	2.28051449065871	6.304	61.4989512195122	180	24
1	2.12048606766696	6.349	53.2827804878049	182	25
1	2.8814925732944	6.643	54.5099756097561	183	25
1	3.13750206008569	7.564	56.2569756097561	185	26
1	2.30483381711809	6.802	45.701243902439	186	26
1	2.89061116602669	6.343	42.162	188	27
