group	size	x	y	row_in_group	na_group
1	2.14971990828032	6.91	52.6601463414634	2	1
1	3.46517071987119	7.7	31.4752926829268	3	1
1	2.63183559803297	5.891	63.2734634146342	5	2
1	2.68040688713031	4.512	66.2754634146342	6	2
1	3.1008896708981	7.354	33.3862195121951	7	2
1	4.24201227351083	3.1	65.2966341463415	8	2
1	3.30338620875512	2.799	69.5773170731707	10	3
1	3.58543589119802	3.54	70.9731707317073	11	3
1	2.11077527485541	4.655	65.9880243902439	12	3
1	2.98270552000946	5.596	61.2391707317073	13	3
1	2.89695589978405	3.954	60.8818536585366	14	3
1	2.23351424057342	4.313	65.0817804878049	15	3
1	5.49593487601446	6.758	48.2351219512195	16	3
1	3.48391169562505	2.644	70.5209756097561	17	3
1	3.08308428276964	6.316	36.3746097560976	18	3
1	3.37998080059884	2.29	70.1956097560976	19	3
1	2.19812802808743	7.132	53.2025853658537	20	3
1	2.82481207564284	6.801	41.5484634146341	21	3
1	2.7684473877187	6.339	35.8840487804878	22	3
1	2.13973549875102	6.487	62.8772682926829	24	4
1	2.90627678253842	6.672	42.9612926829268	25	4
1	6.24109643956905	6.19	54.9587317073171	26	4
1	2.16305016936428	4.496	63.5934878048781	27	4
1	2.23235519538074	6.67	37.314487804878	28	4
1	2.35738272404125	6.632	50.8976341463415	29	4
1	3.40820817419923	2.59	68.5559268292683	30	4
1	2.14727587148834	6.48	61.3918048780488	31	4
1	4.09326804970119	3.753	71.3460975609756	32	4
1	3.93651902039819	6.015	41.2335365853659	33	4
1	2.60481471523236	5.867	36.8957073170732	34	4
1	2.498433394742	5.922	49.229512195122	35	4
1	3.14128750239892	2.484	71.6448780487805	36	4
1	2.92899379713988	7.427	40.5932926829268	37	4
1	3.37149177200831	5.543	57.4063414634146	38	4
1	3.14550592641968	5.819	41.9653414634146	39	4
1	14.5855921557602	5.523	43.7722926829268	40	4
1	3.9885444115992	6.8	57.2438780487805	41	4
1	2.57477968554662	7.295	62.1742926829268	42	4
1	3.32198262825059	4.36	64.2764390243903	43	4
1	2.22597104660987	6.922	48.9037804878049	44	4
1	2.37045596638595	3.471	69.9255365853659	46	5
1	3.51611121486796	2.11	70.5126829268293	47	5
1	6.19530683717305	2.45	69.8263902439025	48	5
1	2.14213537035804	7.814	39.0096829268293	49	5
1	3.05129084623369	2.547	72.4382926829268	50	5
1	2.90580446260556	7.488	52.5177317073171	52	6
1	3.66496567619457	7.348	47.5183658536585	53	6
1	3.05504843198347	6.715	53.7563658536585	54	6
1	2.54224957225741	1.97	68.8391951219512	55	6
1	4.62755619830542	6.623	46.3473658536585	56	6
1	2.58648881477046	6.87	39.5283658536585	57	6
1	4.71525705487116	2.765	69.4804878048781	58	6
1	4.33179399828487	6.881	39.0686341463415	59	6
1	3.03395708657825	2.689	68.8441463414634	60	6
1	2.31086986758313	6.281	56.3856341463415	61	6
1	2.09998682361385	6.917	57.9855853658537	62	6
1	5.36803855958223	2.87	70.1170731707317	64	7
1	2.3461424813973	4.155	39.9256341463415	65	7
1	5.55872074107728	2.784	70.8780487804878	66	7
1	2.14444640751376	6.627	63.2096341463415	67	7
1	2.94201009270235	2.965	63.8277073170732	68	7
1	3.28302688638616	6.789	46.3184390243902	69	7
1	2.29890461286029	5.621	33.7785609756098	71	8
1	2.93294931635233	6.429	32.4533170731707	72	8
1	2.24528810860841	5.515	37.0324878048781	73	8
1	3.41896964565307	2.189	69.050756097561	74	8
1	3.00957568769811	6.512	46.2756585365854	75	8
1	2.12370420539195	6.048	61.7252926829268	76	8
1	2.39117570075048	5.771	34.7786341463415	77	8
1	2.37032028631399	6.373	53.1506585365854	78	8
1	2.8711651610145	5.213	67.5793658536585	79	8
1	2.70377554811776	7.448	46.9036341463415	80	8
1	2.99983140944729	2.302	66.4139512195122	81	8
1	2.97246543525455	6.318	42.6555609756098	82	8
1	3.5507352082326	1.941	68.9360975609756	83	8
1	6.66843329040948	5.656	45.8273658536585	84	8
1	2.82248581797544	3.791	69.9041219512195	85	8
1	2.72326025443334	3.858	72.0065853658537	86	8
1	12.4887125164181	5.856	43.0957073170732	88	9
1	3.33870872846025	6.364	49.9329268292683	89	9
1	4.32481590582269	6.942	45.3408048780488	90	9
1	2.20474020751774	3.884	73.5034146341464	91	9
1	5.48159376369167	2.407	69.760243902439	92	9
1	2.15954866240411	2.481	70.7344146341463	93	9
1	2.62867358003408	5.529	64.7592195121951	94	9
1	2.4613159909844	7.802	54.5577804878049	95	9
1	6.77217361547387	2.05	68.31	96	9
1	3.41587196746728	7.998	47.013	97	9
1	2.7349235973492	5.255	56.5483414634146	98	9
1	3.18617682801118	6.304	42.8949024390244	99	9
1	2.21319180412244	6.849	43.8381463414634	101	10
1	3.67250833870466	3.592	55.7175853658537	103	11
1	4.48393350700847	5.989	53.7346829268293	104	11
1	2.26392839884618	7.279	62.0518292682927	106	12
1	3.57998272044257	4.514	58.7155609756098	108	13
1	2.72060790660396	5.964	44.1842926829268	109	13
1	2.66801939970174	5.719	61.4943658536585	110	13
1	2.14415799399149	6.931	58.179512195122	111	13
1	3.56142422989217	5.421	58.2009756097561	113	14
1	2.52307560613955	6.429	38.0174634146342	114	14
1	2.45471745970948	5.829	46.9849756097561	115	14
1	2.82236185775665	2.53	70.1026829268293	116	14
1	2.71788077159099	1.94	70.0324390243903	118	15
1	2.59468588012257	7.103	47.1752195121951	119	15
1	3.74425012149823	7.165	47.1090975609756	120	15
1	2.78984419234576	3.259	62.1663414634146	122	16
1	2.33969186180281	2.6	62.8882682926829	123	16
1	3.11892872849925	7.3	40.2799756097561	125	17
1	2.59727510993395	3.989	61.3476341463415	127	18
1	3.11120643936475	6.725	30.4661463414634	128	18
1	4.29500778511436	6.071	43.3217317073171	129	18
1	2.48432920719565	7.168	49.6091463414634	130	18
1	2.20244621629708	4.763	65.5554390243903	131	18
1	2.45920908946914	6.787	42.6059024390244	133	19
1	2.27747729019046	3.274	67.9027073170732	134	19
1	2.40282955017399	6.178	59.7629268292683	135	19
1	2.1444953888622	7.075	37.9720731707317	136	19
1	2.92967883898832	6.943	37.9981463414634	137	19
1	5.09507621499015	6.776	57.6296829268293	138	19
1	3.42161442432178	6.28	59.916756097561	139	19
1	3.36752694928174	6.6	35.466756097561	140	19
1	2.38346510256561	6.167	47.4991951219512	141	19
1	2.13711623036746	6.144	59.0390243902439	142	19
1	2.90641321704366	7.073	37.9237073170732	143	19
1	5.32684642846529	6.351	38.8726097560976	144	19
1	2.66183222058909	7.257	47.5733658536585	145	19
1	3.67057954081715	3.217	73.6526829268293	146	19
1	2.92999060587691	2.913	73.5504878048781	147	19
1	3.52584986763543	6.103	38.8414634146341	148	19
1	2.76118630467911	4.099	70.9853658536586	149	19
1	2.36671383182192	7.248	42.9303414634146	150	19
1	2.52891366727435	5.944	61.2834878048781	151	19
1	3.56527353128344	6.872	48.186756097561	152	19
1	2.1353997782778	6.524	56.7528780487805	153	19
1	2.69208344327031	6.278	39.059512195122	154	19
1	4.55241764521648	7.087	58.1193658536585	155	19
1	5.34588040660242	6.6	47.3273658536585	156	19
1	4.68079391637044	2.83	67.7780487804878	157	19
1	2.75803181095585	4.547	69.1459512195122	158	19
1	3.46318607563083	3.183	63.4655609756098	160	20
1	2.68459077560959	6.489	63.8663414634146	162	21
1	2.10627502662524	6.973	60.4215365853659	163	21
1	4.10949193914432	2.173	66.2206341463415	164	21
1	7.39266314615349	2.45	67.8127073170732	166	22
1	2.84715269508069	8.161	42.5193658536585	167	22
1	3.0035805320608	7.23	45.4835365853659	168	22
1	2.16761678057841	6.385	49.8817073170732	169	22
1	3.36308274364625	6.616	41.8539024390244	171	23
1	3.3427025509792	2.213	73.4743902439024	172	23
1	2.63815724960446	5.256	66.0871951219512	173	23
1	2.61755109440932	2.314	68.9780487804878	174	23
1	3.0022271166208	2.96	70.2945609756098	175	23
1	2.72392989978692	6.035	31.7149512195122	176	23
1	2.88450435580356	6.722	39.0632682926829	178	24
1	2.82106761801818	7.252	36.3862195121951	179	24
1	2.26562300460787	6.594	60.038	180	24
1	2.12023894102742	6.263	51.075756097561	182	25
1	2.8274955296236	6.749	52.0206585365854	183	25
1	3.06612125794626	7.497	53.4194878048781	185	26
1	2.29109270991001	6.73	44.5348780487805	186	26
1	2.856352351811	6.269	40.6212682926829	188	27
1	2.61821049593595	6.57	40.1329268292683	189	27
1	4.6004569718883	6.151	55.8388292682927	190	27
1	2.71582818322336	6.266	56.5784878048781	191	27
1	2.34778170658116	6.376	34.2275609756098	192	27
1	2.62829167418027	6.537	54.8558048780488	193	27
1	3.01243156936059	7.215	48.8238048780488	194	27
1	2.11942923523838	7.346	61.7327073170732	195	27
1	4.60202589657348	6.091	48.3524390243903	196	27
1	2.45448080075542	5.141	63.7634146341464	197	27
1	3.5771140069026	6.806	43.9072926829268	199	28
1	5.21909088612992	2.17	70.2282195121951	200	28
1	3.29603417672352	7.019	44.5325365853659	201	28
1	8.63794160808334	3.62	70.2707317073171	202	28
1	2.78479174225616	2.887	68.0239756097561	203	28
1	3.45841809479159	6.755	59.3021463414634	204	28
1	2.13666763870423	7.155	54.8780975609756	205	28
1	3.37384202128186	6.637	59.0864390243903	206	28
1	2.08457765666866	5.534	64.1015609756098	207	28
1	4.91500893602165	7.189	44.6906341463415	208	28
1	2.12138954111846	7.12	47.0880975609756	209	28
1	2.16083794431151	7.343	50.469512195122	210	28
1	3.11472496324622	7.308	38.0583658536585	211	28
1	4.07479187235745	6.391	49.4298048780488	212	28
1	2.8719305793065	7.071	45.487512195122	213	28
1	2.9637898616632	7.215	51.9149512195122	214	28
