group	PANEL	clickSelects	colour	fill	key	showSelected2
1	3	Ukraine	#C49A00	#C49A00	Ukraine	Europe & Central Asia
1	3	Uganda	#FB61D7	#FB61D7	Uganda	Sub-Saharan Africa
1	3	United States	#00B6EB	#00B6EB	United States	North America
1	3	Uruguay	#53B400	#53B400	Uruguay	Latin America & Caribbean
1	3	Uzbekistan	#C49A00	#C49A00	Uzbekistan	Europe & Central Asia
1	3	St. Vincent and the Grenadines	#53B400	#53B400	St. Vincent and the Grenadines	Latin America & Caribbean
1	3	Venezuela, RB	#53B400	#53B400	Venezuela, RB	Latin America & Caribbean
1	3	Virgin Islands (U.S.)	#53B400	#53B400	Virgin Islands (U.S.)	Latin America & Caribbean
1	3	Vietnam	#F8766D	#F8766D	Vietnam	East Asia & Pacific
1	3	Vanuatu	#F8766D	#F8766D	Vanuatu	East Asia & Pacific
1	3	Samoa	#F8766D	#F8766D	Samoa	East Asia & Pacific
1	3	Yemen, Rep.	#00C094	#00C094	Yemen, Rep.	Middle East & North Africa
1	3	South Africa	#FB61D7	#FB61D7	South Africa	Sub-Saharan Africa
1	3	Zambia	#FB61D7	#FB61D7	Zambia	Sub-Saharan Africa
1	3	Zimbabwe	#FB61D7	#FB61D7	Zimbabwe	Sub-Saharan Africa
