group	size	x	y	row_in_group	na_group
1	2.83252263742302	2.77	74.3887317073171	2	1
1	4.1893874830622	7.847	45.0098536585366	3	1
1	2.89155604841897	2.33	73.7218292682927	5	2
1	2.86087783936052	1.712	70.4924878048781	6	2
1	3.79996200503873	6.882	44.4390975609756	7	2
1	4.95938946045331	2.535	73.5034634146342	8	2
1	3.38425084824543	1.34	77.7756097560976	10	3
1	4.13046725823412	1.755	78.9317073170732	11	3
1	2.14256086955099	1.905	73.6753902439025	12	3
1	3.38342105879043	2.07	66.3554878048781	13	3
1	2.94815295919539	1.454	73.714	14	3
1	2.25066649445888	1.585	75.3094146341464	15	3
1	7.58346308223292	3.231	64.2339024390244	16	3
1	3.56590517459097	1.62	77.619512195122	17	3
1	3.64476593754553	6.314	49.8854878048781	18	3
1	3.4030379960863	1.23	71.4121951219512	19	3
1	2.39078641814244	2.775	73.6713658536585	20	3
1	3.25261158002099	5.904	45.6705609756098	21	3
1	3.27116644500141	6.041	52.291756097561	22	3
1	2.27715334834302	2.477	75.9883414634146	24	4
1	3.41256152396363	4.219	62.6008780487805	25	4
1	8.42334723893157	2.399	69.8144634146341	26	4
1	2.26336975990509	2.165	71.3034390243903	27	4
1	2.36134470314506	3.855	60.4560975609756	28	4
1	2.64245126018495	3.519	52.1589512195122	29	4
1	3.55117437738537	1.31	67.9073170731707	30	4
1	2.23364825810931	3.696	73.4443170731708	31	4
1	4.70463275434134	1.51	78.8829268292683	32	4
1	5.3176385429839	6.974	45.4424146341463	33	4
1	2.92478159059209	5.488	43.9533414634146	34	4
1	2.85397100320778	4.964	54.1409024390244	35	4
1	3.30868430437431	1.48	79.580487804878	36	4
1	3.94668272784543	5.22	50.1789024390244	37	4
1	3.91332920185087	2.135	76.4228292682927	38	4
1	3.92881991454553	5.03	50.406512195122	39	4
1	19.3349826314173	1.755	71.0833902439025	40	4
1	5.067628706646	2.682	70.7118292682927	41	4
1	2.95943640815023	2.481	77.6227317073171	42	4
1	3.63156067785047	1.621	76.158	43	4
1	2.32112396179997	3.876	68.9563902439024	44	4
1	2.4700827775653	1.781	77.823512195122	46	5
1	3.57029863591584	1.13	74.6682926829268	47	5
1	6.43767456604342	1.36	77.7268292682927	48	5
1	2.41192560330984	4.926	53.5894146341464	49	5
1	3.12940345752695	1.73	76.3414634146341	50	5
1	3.42990152138535	2.926	70.6308292682927	52	6
1	4.73887673351582	2.715	69.6730487804878	53	6
1	3.71649187504509	3.007	73.0061463414634	54	6
1	2.57355181835302	1.32	70.0634146341463	55	6
1	5.95151242710965	3.382	68.4493658536585	56	6
1	2.95362461687746	5.526	55.4075853658537	57	6
1	5.09457228910274	1.19	78.7170731707317	58	6
1	5.92291117583558	6.253	51.1929268292683	59	6
1	3.11267846027566	1.73	77.2912195121951	60	6
1	2.4387712592655	3.132	67.4201219512195	61	6
1	2.15758887547565	4.39	67.1726341463415	62	6
1	5.80925998484891	1.81	78.6073170731707	64	7
1	2.53464693731556	4.181	59.9720487804878	65	7
1	5.75174135380721	1.68	77.390243902439	66	7
1	2.15266615574068	2.666	73.0774634146342	67	7
1	3.03297003863687	1.659	71.2931951219512	68	7
1	4.0997499141834	4.716	58.1348048780488	69	7
1	2.11149295898163	2.34	65.4390243902439	70	7
1	2.53402382745069	5.708	54.8450731707317	71	7
1	3.43601413563327	6.07	47.522	72	7
1	2.3455900648746	5.814	48.6409512195122	73	7
1	3.61538141744501	1.24	77.9878048780488	74	7
1	3.61978077583541	4.884	67.2181219512195	75	7
1	2.18948063343977	2.927	73.9679512195122	76	7
1	2.54566280679667	5.93	44.6193658536585	77	7
1	2.42039702077479	2.479	63.9464390243903	78	7
1	3.25846046258415	0.982	80.3829268292683	79	7
1	3.20995718655424	4.116	70.1256829268293	80	7
1	3.04468877825813	1.38	72.6419512195122	81	7
1	3.42194932546611	4.426	58.1718536585366	82	7
1	3.56675597721374	1.28	70.6770731707317	83	7
1	9.02857999375259	2.489	65.3307073170732	84	7
1	2.94850480894428	1.9	76.0736585365854	85	7
1	3.21170203902164	2.965	78.6585365853659	86	7
1	17.6804560536117	3.194	61.2558780487805	88	8
1	4.35331201274886	5.31	70.9688780487805	89	8
1	5.94425078784103	2.352	69.4518292682927	90	8
1	2.2559510922655	1.99	79.3512195121951	91	8
1	5.694848330981	1.23	78.8268292682927	92	8
1	2.1854699971854	1.402	77.2779268292683	93	8
1	2.78516690247366	2.629	70.3762682926829	94	8
1	3.05916904054462	4.076	71.9533170731707	95	8
1	7.51175376365286	1.342	80.5707317073171	96	8
1	4.70371894702545	5.03	52.8132195121951	97	8
1	3.07706800758335	2.629	67.0024390243903	98	8
1	3.69352227990846	4.017	57.0888292682927	99	8
1	2.35002439161952	5.306	57.6450975609756	101	9
1	4.33028231257608	2.144	64.5495609756098	103	10
1	5.34384990172013	1.42	75.3734146341463	104	10
1	2.64933605421213	2.8781	66.9512195121951	105	10
1	2.65967233426796	2.714	73.6697073170732	106	10
1	3.89207916690802	1.7	65.519512195122	108	11
1	3.12688879347298	4.457	60.8110731707317	109	11
1	2.86959506448369	2.503	70.4836829268293	110	11
1	2.19018951796399	2.1	71.3048780487805	111	11
1	4.13777332363401	2.176	70.2517073170732	113	12
1	2.81034453410937	5.91	44.888756097561	114	12
1	2.66351671112543	4.2	49.3578292682927	115	12
1	2.91888962787643	1.46	71.5707317073171	116	12
1	2.31974166461624	1.74	77.7707317073171	117	12
1	2.75656847437363	1.16	69.7429268292683	118	12
1	3.10483204982957	3.135	72.2628536585366	119	12
1	4.60869696612932	2.798	68.2839024390244	120	12
1	2.93477576001403	1.613	66.7269756097561	122	13
1	2.38161054865625	1.825	75.1070487804878	123	13
1	3.9131587514798	5.651	58.7162926829268	125	14
1	2.10707667241862	5.71	67.5048780487805	126	14
1	2.69785438911846	1.72	72.7442195121951	127	14
1	3.54670713120302	6.841	46.9383902439024	128	14
1	5.39046350140983	2.507	61.5871463414634	129	14
1	2.75430047702714	2.29	62.616512195122	130	14
1	2.31785038786444	0.991	78.3155609756098	131	14
1	2.79328961759136	5.291	56.9314146341464	133	15
1	2.29995567262557	1.77	77.1487804878049	134	15
1	2.52999377566458	2.05	70.9609756097561	135	15
1	2.25125719839935	3.146	69.3642195121951	136	15
1	3.62501434857459	6.13	45.9636829268293	137	15
1	6.95403304964476	2.615	74.013243902439	138	15
1	4.34333416445056	3.11	71.9563414634146	139	15
1	4.06599459041896	5.758	47.0209756097561	140	15
1	2.66667937831317	4.134	58.2058536585366	141	15
1	2.22171884878715	2.6533333333	73.8756097560976	142	15
1	3.5939808608363	7.545	47.5220243902439	143	15
1	7.36133560523857	5.922	45.8295365853659	144	15
1	3.097003317158	3.384	69.1685365853659	145	15
1	3.94728889361809	1.65	77.8365853658537	146	15
1	3.03406240887321	1.85	78.2829268292683	147	15
1	4.33277231541847	4.224	60.7158048780488	148	15
1	2.95860673661759	1.94	77.890243902439	149	15
1	2.72114896930906	3.943	73.9382682926829	150	15
1	2.84681198862308	2.764	74.0309024390244	151	15
1	4.47842407499241	2.993	69.9989268292683	152	15
1	2.23421019192851	2.509	72.0825365853659	153	15
1	3.12078373192238	4.557	58.4848780487805	154	15
1	6.27012472411747	3.852	66.6480243902439	155	15
1	7.80697988328262	4.669	62.9525365853659	156	15
1	5.04510980933179	1.37	73.0439024390244	157	15
1	2.95421518193867	1.97425	75.731	158	15
1	2.82598269436887	5.535	70.7060487804878	159	15
1	3.56172753738464	1.5	75.9634146341463	160	15
1	3.12071738178532	3.758	69.7825365853659	162	16
1	2.36908067331525	3.219	76.1070731707317	163	16
