group	size	x	y	row_in_group	na_group
1	2.55260184538601	5.141	70.2411951219512	2	1
1	3.68597979652763	7.829	40.4586829268293	3	1
1	2.84789339330067	3.865	71.076487804878	5	2
1	2.887463347276	2.441	69.9390487804878	6	2
1	3.45128774349995	7.207	40.655487804878	7	2
1	4.677327190675	3.123	70.4093170731707	8	2
1	3.34639878746264	1.53	73.5275609756098	10	3
1	3.93070604137397	1.84	75.3878048780488	11	3
1	2.11851284231279	2.342	72.989756097561	12	3
1	3.2548677364129	2.98	65.2259024390244	13	3
1	3.01077427263018	1.973	71.5952926829268	14	3
1	2.24435386281929	1.858	73.0805365853659	15	3
1	6.6926264024636	5.719	56.5819024390244	16	3
1	3.53722258478381	1.591	74.4048780487805	17	3
1	3.34370673889857	7.043	47.7782195121951	18	3
1	3.46575467342755	1.99	71.499756097561	19	3
1	2.31089725932722	4.476	71.2357317073171	20	3
1	3.05279150255536	6.491	48.062512195122	21	3
1	2.99890681890008	6.994	46.4748536585366	22	3
1	2.22583034877968	3.843	71.9543658536585	24	4
1	3.18923501062376	5.189	54.9867317073171	25	4
1	7.65597312353644	3.587	64.059756097561	26	4
1	2.23269872170014	2.919	68.7896097560976	27	4
1	2.32930902648881	6.348	48.7621219512195	28	4
1	2.52337566726206	5.731	62.4456341463415	29	4
1	3.54147892965264	2.11	70.5851707317073	30	4
1	2.19348376176881	5.17	71.3051951219512	31	4
1	4.48280065773359	1.65	76.3175609756098	32	4
1	4.64836391134809	6.802	46.2936585365854	33	4
1	2.78235830021006	5.952	49.7640243902439	34	4
1	2.6954175188772	5.864	57.0031219512195	35	4
1	3.24267072946877	1.52	76.6085365853659	36	4
1	3.53066724172881	7.117	52.9404146341463	37	4
1	3.69112538368515	2.655	71.4847804878049	38	4
1	3.55393838932787	6.335	52.6052926829268	39	4
1	17.7705333425435	2.625	68.0592682926829	40	4
1	4.6571578378833	3.525	67.2982926829268	41	4
1	2.79296025416704	3.491	74.3177073170732	42	4
1	3.55067774126093	1.832	74.1970731707317	43	4
1	2.27728919914033	5.979	62.126512195122	44	4
1	2.40784802676154	2.453	75.4959756097561	46	5
1	3.57383507298588	1.97	70.8375609756098	47	5
1	6.32151619333004	1.29	73.917	48	5
1	2.31012705555124	6.562	49.7062195121951	49	5
1	3.10685806032026	1.4	74.5621951219512	50	5
1	3.23684065993964	3.978	64.6514634146342	52	6
1	4.30485811081755	6.161	62.8491707317073	53	6
1	3.44781324354953	4.485	65.4534390243902	54	6
1	2.602706613697	2.17	69.2780487804878	55	6
1	5.43491439256445	5.123	58.4373170731707	56	6
1	2.81038138761984	6.456	44.4786829268293	57	6
1	5.03003854055042	1.72	76.2953658536586	58	6
1	5.07775776068968	6.984	44.0902682926829	59	6
1	3.08166867916407	1.7	74.5190243902439	60	6
1	2.4086345119781	3.693	64.1199756097561	61	6
1	2.13762786312808	5.752	65.5395853658537	62	6
1	5.68097951735355	1.86	75	64	7
1	2.43807694466997	5.194	58.2290975609756	65	7
1	5.67876963788911	1.77	74.7780487804878	66	7
1	2.15028999776272	4.243	65.7467804878049	67	7
1	3.05248955961221	2.275	69.5999268292683	68	7
1	3.71822458139606	6.223	54.2455365853659	69	7
1	2.40884079798737	6.252	50.7813658536585	71	8
1	3.08652167389482	6.942	40.7927073170732	72	8
1	2.26354412045441	5.826	44.289756097561	73	8
1	3.5403737446592	1.823	75.514512195122	74	8
1	3.36143861335151	5.987	59.1393658536585	75	8
1	2.16220424933824	3.076	70.5355365853659	76	8
1	2.46083235967252	6.71	41.5543170731707	77	8
1	2.42537003078798	3.052	60.3373902439024	78	8
1	3.13745640349077	1.559	76.0292682926829	79	8
1	2.99257781643449	5.802	62.5981463414634	80	8
1	3.05905579606566	1.87	70.2185365853659	81	8
1	3.22351241760841	6.106	52.5321707317073	82	8
1	3.59937708124451	1.73	69.0258536585366	83	8
1	8.17761309683065	3.887	59.5306341463415	84	8
1	2.91995735969504	2.589	73.4345853658537	85	8
1	2.99831013346449	3.082	74.8073170731707	86	8
1	15.5441857955705	4.363	56.7326585365854	88	9
1	3.9093956342876	6.289	56.7224146341463	89	9
1	5.30978861562817	6.377	50.5314390243902	90	9
1	2.23754327920319	2.08	77.5765853658537	91	9
1	5.68380809877962	1.462	75.389512195122	92	9
1	2.17534408797502	1.434	74.2065365853659	93	9
1	2.73882998610743	3.394	71.0425609756098	94	9
1	2.78164738264461	6.931	68.6533902439024	95	9
1	7.36549750816191	1.81	77.3653658536585	96	9
1	4.1313939283359	7.049	59.3103902439024	97	9
1	2.96872539833176	4.097	64.4696341463415	98	9
1	3.34085517372657	6.802	50.6716097560976	99	9
1	2.28936654681307	6.766	53.6109268292683	101	10
1	4.10566497211681	2.779	69.159243902439	103	11
1	5.11311009345818	1.96	67.8860975609756	104	11
1	2.62773515552774	4.8199	66.5978048780488	105	11
1	2.62838215257059	4.575	71.5412926829268	106	11
1	3.93415627870216	3.08	68.5365853658537	108	12
1	2.92578720996934	6.369	50.4327804878049	109	12
1	2.7992378686534	3.709	67.2909756097561	110	12
1	2.16979578604235	4.014	70.3306097560976	111	12
1	3.93436774606253	3.01	69.3199024390244	113	13
1	2.71974189350544	6.915	43.420243902439	114	13
1	2.58649515432454	5.377	55.7686585365854	115	13
1	2.91757912987902	2.09	70.32	116	13
1	2.29456436560776	1.43	73.1264390243903	117	13
1	2.78329458053278	2.09	69.1629268292683	118	13
1	2.93043002356355	6.79	63.7896585365854	119	13
1	4.28529339457832	5.12	60.6441951219512	120	13
1	2.92042358979142	2.62	65.6957804878049	122	14
1	2.3751882429428	2.108	74.2423902439024	123	14
1	3.52617934204022	6.135	49.1927804878049	125	15
1	2.68140633668371	2.277	69.9329512195122	127	16
1	3.32120360388861	7.088	41.6433170731707	128	16
1	5.00930003143306	4.153	55.4036341463415	129	16
1	2.66918147263628	5.547	58.4	130	16
1	2.25888226962189	2.021	74.4732926829268	131	16
1	2.64131387696137	6.214	54.5918536585366	133	17
1	2.27977725213838	1.95	73.8551219512195	134	17
1	2.49098445968796	2.16	68.2298536585366	135	17
1	2.20367360029176	7.24	56.5183658536585	136	17
1	3.29155188879608	7.234	45.7464390243902	137	17
1	6.27947056041676	4.027	68.3588780487805	138	17
1	3.91757665540969	3.679	68.550512195122	139	17
1	3.77920019106492	6.42	42.6967804878049	140	17
1	2.51548777069057	6.022	59.4723414634146	141	17
1	2.1873577320532	3.0466666667	68.6162601626098	142	17
1	3.25024679111497	7.785	39.996	143	17
1	6.42888125887517	6.718	45.8905365853659	144	17
1	2.93144255013248	5.589	60.1555853658537	145	17
1	3.85984243746522	1.491	76.2331707317073	146	17
1	2.99603674748292	1.66	76.2243902439024	147	17
1	3.94519133574029	5.635	50.4658048780488	148	17
1	2.87925053117671	1.93	74.3707317073171	149	17
1	2.58494544607366	8.299	65.0034146341464	150	17
1	2.72305675173889	3.405	71.1310731707317	151	17
1	4.13918573585372	4.475	62.3980487804878	152	17
1	2.19961946798209	3.745	67.1023414634146	153	17
1	2.92661934442718	5.312	54.7004390243902	154	17
1	5.56116708977223	4.795	64.0134634146341	155	17
1	6.68850556279398	6.436	59.1338780487805	156	17
1	4.97513636749332	2.372	70.8	157	17
1	2.89508034378473	2.387	74.2259756097561	158	17
1	3.5481738878863	1.92	72.5146341463415	160	18
1	2.92835579462871	5.094	67.1454634146342	162	19
1	2.28430871070262	5.148	72.5258048780488	163	19
1	4.33101234557608	2.26	69.6587804878049	164	19
1	7.85151725442298	2.06	67.2026829268293	166	20
1	3.18657626067453	8.216	50.0053902439024	167	20
1	3.73773041104259	6.806	65.383243902439	168	20
1	2.24898570466838	6.349	57.7946829268293	169	20
1	3.99266031549619	6.268	50.6571707317073	171	21
1	3.41376645757196	1.66	76.8158536585366	172	21
1	2.80889941353179	1.615	72.7820975609756	173	21
1	2.68003925471305	1.74	70.9024390243903	174	21
1	3.10853398055688	2.26	70.7509756097561	175	21
1	2.9146948800006	5.519	43.4455853658537	176	21
1	3.22362681108811	7.193	50.3891951219512	178	22
1	3.21053862112091	6.701	44.8818780487805	179	22
1	2.29710798620203	3.471	66.8701219512195	180	22
1	2.15335907737563	6.078	60.0211951219512	182	23
1	3.08789414049979	4.609	58.8220487804878	183	23
1	3.57256531853616	6.534	68.2858780487805	185	24
1	2.4026795206188	6.459	56.8127804878049	186	24
1	3.0897161240184	6.74	49.6501951219512	188	25
1	2.86732890536669	6.941	51.0847804878049	189	25
1	5.50062804892382	2.707	69.1920487804878	190	25
1	3.02694292585524	5.51	63.1067804878049	191	25
1	2.390179788047	5.324	40.812512195122	192	25
1	2.86884387799401	4.718	62.0150487804878	193	25
1	3.29935416736783	4.707	65.0841463414634	194	25
1	2.14657137592452	5.266	68.5336585365854	195	25
1	5.39797458883157	3.868	59.4541951219512	196	25
1	2.52554729912584	3.129	68.093756097561	197	25
1	4.25398772994688	6.504	51.0769756097561	199	26
1	5.4890836078756	2.09	69.5518292682927	200	26
1	3.84413237720609	7.103	49.7853658536585	201	26
1	9.5211721346923	1.8065	74.5634146341464	202	26
1	2.84666453323607	2.546	71.3048048780488	203	26
1	4.06488279509231	4.616	66.5341463414634	204	26
1	2.15446330535824	3.439	67.2868780487805	205	26
1	4.01126248529993	3.861	69.4542195121951	206	26
1	2.15773493623521	3.467	72.7020487804878	207	26
1	5.71993167853662	4.622	60.1716829268293	208	26
1	2.17164069058175	5.282	60.6422682926829	209	26
1	2.19282493689073	4.836	61.962512195122	210	26
1	3.49138335324721	9.223	52.731	211	26
1	4.70490594649878	4.402	59.3457073170732	212	26
1	3.26132210262174	6.865	51.5648048780488	213	26
1	3.42989774682775	6.435	61.1367804878049	214	26
