group	size	x	y	row_in_group	na_group
1	2.67576613719181	4.193	72.4153170731707	2	1
1	3.7390560609965	7.984	42.636	3	1
1	2.91043509453874	3.058	71.5314878048781	5	2
1	2.91727935821871	2.482	67.7360731707317	6	2
1	3.59822420647303	7.144	41.2088780487805	7	2
1	4.81655121360037	2.956	71.7179268292683	8	2
1	3.36352324201197	1.5	75.5678048780488	10	3
1	4.03593031914955	1.849	77.2756097560976	11	3
1	2.12031273356226	2.221	73.4331219512195	12	3
1	3.32027314614849	2.87	64.4241463414634	13	3
1	3.02378140741369	1.645	66.3856829268293	14	3
1	2.24775720647348	1.739	74.5583658536585	15	3
1	7.13515166939242	4.356	59.9897073170732	16	3
1	3.54881320181055	1.57	76.1921951219512	17	3
1	3.47305275841684	6.794	48.5274146341463	18	3
1	3.43863900165373	1.65	71.5609756097561	19	3
1	2.34817497812915	3.567	72.6096829268293	20	3
1	3.17397344247009	6.492	45.6215365853659	21	3
1	3.1145149183646	6.677	49.1231219512195	22	3
1	2.24976149255322	3.435	73.9232195121951	24	4
1	3.29140868461751	4.866	59.3024146341464	25	4
1	8.04128701598746	2.717	66.734243902439	26	4
1	2.24820555913785	2.631	69.4571219512195	27	4
1	2.35677039560994	5.573	53.3589512195122	28	4
1	2.58367957971036	4.542	63.648	29	4
1	3.56342010817984	1.8	70.3780487804878	30	4
1	2.21184522223466	4.436	72.6361707317073	31	4
1	4.59936909041571	1.7	77.5534146341464	32	4
1	4.94877095704687	7.112	46.8238292682927	33	4
1	2.84481299364385	5.734	48.4149756097561	34	4
1	2.76547895947011	5.293	55.8807804878049	35	4
1	3.27676689725889	1.58	77.5146341463415	36	4
1	3.73339390878735	6.117	52.3796341463415	37	4
1	3.79635081882582	2.597	73.9164146341464	38	4
1	3.72647888032056	5.832	53.1279024390244	39	4
1	18.6146000847933	2.219	69.6640243902439	40	4
1	4.85386659777134	3.057	68.4601219512195	41	4
1	2.86949478744878	3.09	75.9568536585366	42	4
1	3.60063163593834	1.715	74.5215853658537	43	4
1	2.29196490469028	5.164	65.519512195122	44	4
1	2.43223901841331	2.381	76.6621219512195	46	5
